agent_name	grounding	other_mapping	cui
inflammatory response	"('GO', 'GO:0006954')"	"{'GO': 'GO:0006954', 'TEXT': 'Inflammation', 'MESH': 'D007249'}"	C1155266
sevoflurane	"('CHEBI', 'CHEBI:9130')"	"{'CHEBI': 'CHEBI:9130', 'TEXT': 'Sevoflurane', 'DRUGBANK': 'DB01236', 'CHEMBL': 'CHEMBL1200694', 'PUBCHEM': '5206', 'HMDB': 'HMDB0015366', 'CAS': '28523-86-6', 'MESH': 'D000077149'}"	C0074414
sevoflurane	"('CHEBI', 'CHEBI:9130')"	"{'CHEBI': 'CHEBI:9130', 'TEXT': 'sevoflurane', 'DRUGBANK': 'DB01236', 'CHEMBL': 'CHEMBL1200694', 'PUBCHEM': '5206', 'HMDB': 'HMDB0015366', 'CAS': '28523-86-6', 'MESH': 'D000077149'}"	C0074414
CVD	"(None, None)"	{'TEXT': 'CVD'}	C0007222
KLK3	"('HGNC', '6364')"	"{'UP': 'P07288', 'TEXT': 'PSA', 'HGNC': '6364', 'MESH': 'D017430'}"	C0138741
SORL1	"('HGNC', '11185')"	"{'UP': 'Q92673', 'TEXT': 'SORLA', 'HGNC': '11185'}"	C1420312
LTF	"('HGNC', '6720')"	"{'UP': 'P02788', 'TEXT': 'lactoferrin', 'HGNC': '6720', 'MESH': 'D007781'}"	C1435815
Phe-Glu	"('CHEBI', 'CHEBI:74712')"	"{'PUBCHEM': '151134', 'TEXT': 'Fe', 'CAS': '3617-45-6', 'CHEBI': 'CHEBI:74712', 'CHEMBL': 'CHEMBL476830'}"	C0070660
KCNQ2	"('HGNC', '6296')"	"{'UP': 'O43526', 'TEXT': 'EBN', 'HGNC': '6296'}"	C1416614
Tinnitus	"('MESH', 'D014012')"	"{'MESH': 'D014012', 'TEXT': 'tinnitus'}"	C0040264
propofol	"('CHEBI', 'CHEBI:44915')"	"{'CHEBI': 'CHEBI:44915', 'TEXT': 'propofol', 'HMDB': 'HMDB0014956', 'CAS': '2078-54-8', 'CHEMBL': 'CHEMBL526', 'MESH': 'D015742', 'DRUGBANK': 'DB00818', 'PUBCHEM': '4943'}"	C0033487
"Glaucoma, Open-Angle"	"('MESH', 'D005902')"	"{'MESH': 'D005902', 'TEXT': 'Open Angle Glaucoma'}"	C0017601
ovotransferrin	"('UP', 'P56410')"	"{'UP': 'P56410', 'TEXT': 'ovotransferrin'}"	C0009629
LOAD	"(None, None)"	{'TEXT': 'LOAD'}	C1550025
angiotensin II	"('CHEBI', 'CHEBI:48432')"	"{'CHEBI': 'CHEBI:48432', 'TEXT': 'Angiotensin II', 'CAS': '11128-99-7'}"	C0003009
Hypertension	"('MESH', 'D006973')"	"{'MESH': 'D006973', 'TEXT': 'High Blood Pressure'}"	C0020538
Lys-Met	"('CHEBI', 'CHEBI:74566')"	"{'PUBCHEM': '7016114', 'TEXT': 'Km', 'CHEBI': 'CHEBI:74566'}"	C0024337
ASAH1	"('HGNC', '735')"	"{'UP': 'Q13510', 'TEXT': 'AC', 'HGNC': '735'}"	C2000891
peroxide	"('CHEBI', 'CHEBI:44785')"	"{'CHEBI': 'CHEBI:44785', 'TEXT': 'Peroxide'}"	C0031180
CRP	"('HGNC', '2367')"	"{'UP': 'P02741', 'TEXT': 'C-reactive protein', 'HGNC': '2367', 'MESH': 'D002097'}"	C4048285
Chronic Disease	"('MESH', 'D002908')"	"{'MESH': 'D002908', 'TEXT': 'chronic diseases', 'EFO': '0009714'}"	C0008679
Grin3a	"('UP', 'Q9R1M7')"	"{'UP': 'Q9R1M7', 'TEXT': 'N-methyl-d-aspartate receptor'}"	C1424528
quercetin	"('CHEBI', 'CHEBI:16243')"	"{'CHEBI': 'CHEBI:16243', 'TEXT': 'quercetin', 'HMDB': 'HMDB0005794', 'MESH': 'D011794', 'PUBCHEM': '5280343', 'CAS': '117-39-5', 'DRUGBANK': 'DB04216', 'CHEMBL': 'CHEMBL50'}"	C0034392
heparin	"('CHEBI', 'CHEBI:28304')"	"{'CHEBI': 'CHEBI:28304', 'TEXT': 'heparin', 'CAS': '9005-49-6', 'CHEMBL': 'CHEMBL1909300', 'MESH': 'D006493', 'DRUGBANK': 'DB01109'}"	C0019134
Cardiovascular Diseases	"('MESH', 'D002318')"	"{'MESH': 'D002318', 'TEXT': 'Cardiovascular diseases'}"	C0007222
rs7179008 variant	"(None, None)"	{'TEXT': 'rs7179008 variant'}	C0205419
translation	"('GO', 'GO:0006412')"	"{'GO': 'GO:0006412', 'TEXT': 'translation', 'MESH': 'D014176'}"	C0040712
GADD45GIP1	"('HGNC', '29996')"	"{'UP': 'Q8TAE8', 'TEXT': 'Crif1', 'HGNC': '29996'}"	C1428913
RNA interference	"('GO', 'GO:0016246')"	"{'GO': 'GO:0016246', 'TEXT': 'RNA interference', 'MESH': 'D034622'}"	C1136031
TARDBP	"('HGNC', '11571')"	"{'UP': 'Q13148', 'TEXT': 'TDP-43', 'HGNC': '11571'}"	C1420588
CHF5074	"(None, None)"	{'TEXT': 'CHF5074'}	C1999829
Metabolic Syndrome	"('MESH', 'D024821')"	"{'MESH': 'D024821', 'TEXT': 'metabolic syndrome'}"	C0524620
Hypertension	"('MESH', 'D006973')"	"{'MESH': 'D006973', 'TEXT': 'high blood pressure'}"	C0020538
CD33	"('HGNC', '1659')"	"{'UP': 'P20138', 'TEXT': 'CD33', 'HGNC': '1659', 'MESH': 'D063268'}"	C3491277
PTK2B	"('HGNC', '9612')"	"{'UP': 'Q14289', 'TEXT': 'PTK2B', 'HGNC': '9612', 'MESH': 'D051418'}"	C1430595
seliciclib	"('CHEBI', 'CHEBI:45307')"	"{'PUBCHEM': '160355', 'TEXT': 'roscovitine', 'CAS': '186692-46-6', 'CHEMBL': 'CHEMBL14762', 'MESH': 'D000077546', 'DRUGBANK': 'DB06195', 'CHEBI': 'CHEBI:45307'}"	C1609861
CDK5	"('HGNC', '1774')"	"{'UP': 'Q00535', 'TEXT': 'cdk5', 'HGNC': '1774', 'MESH': 'D051360'}"	C1565306
Dyslipidemias	"('MESH', 'D050171')"	"{'MESH': 'D050171', 'TEXT': 'dyslipidemia', 'HP': 'HP:0003119'}"	C0242339
IL23R	"('HGNC', '19100')"	"{'UP': 'Q5VWK5', 'TEXT': 'IL23R', 'HGNC': '19100'}"	C1872104
Overweight	"('MESH', 'D050177')"	"{'MESH': 'D050177', 'TEXT': 'Overweight', 'HP': 'HP:0025502'}"	C0497406
IL37	"('HGNC', '15563')"	"{'UP': 'Q9NZH6', 'TEXT': 'interleukin-23', 'HGNC': '15563'}"	C1423575
flavin	"('CHEBI', 'CHEBI:30527')"	"{'CHEBI': 'CHEBI:30527', 'TEXT': 'Flavin', 'MESH': 'D005415'}"	C0016213
IL23R	"('HGNC', '19100')"	"{'UP': 'Q5VWK5', 'TEXT': 'IL-23 receptor', 'HGNC': '19100'}"	C1872104
catalyst	"('CHEBI', 'CHEBI:35223')"	"{'CHEBI': 'CHEBI:35223', 'TEXT': 'catalyst'}"	C0175921
IL23A	"('HGNC', '15488')"	"{'UP': 'Q9NPF7', 'TEXT': 'IL-23', 'HGNC': '15488', 'MESH': 'D053760'}"	C1423526
miR-203	"(None, None)"	{'TEXT': 'miR-203'}	C2826007
ELAVL2	"('HGNC', '3313')"	"{'UP': 'Q12926', 'TEXT': 'hub', 'HGNC': '3313', 'MESH': 'D000067777'}"	C1414372
Stroke	"('MESH', 'D020521')"	"{'MESH': 'D020521', 'TEXT': 'strokes'}"	C0038454
paired helical filament-	"(None, None)"	{'TEXT': 'paired helical filament-'}	C0597162
Cerebral Infarction	"('MESH', 'D002544')"	"{'MESH': 'D002544', 'TEXT': 'Cerebral infarction', 'DOID': 'DOID:3526'}"	C0007785
amyloid beta	"(None, None)"	{'TEXT': 'amyloid beta'}	C3484390
NOG	"('HGNC', '7866')"	"{'UP': 'Q13253', 'TEXT': 'Noggin', 'HGNC': '7866'}"	C1417753
amino acid	"('CHEBI', 'CHEBI:33709')"	"{'CHEBI': 'CHEBI:33709', 'TEXT': 'amino acid'}"	C0002520
BMP6	"('HGNC', '1073')"	"{'UP': 'P22004', 'TEXT': 'BMP6', 'HGNC': '1073', 'MESH': 'D055418'}"	C1612225
IGFALS	"('HGNC', '5468')"	"{'UP': 'P35858', 'TEXT': 'ALS', 'HGNC': '5468'}"	C1456383
PSEN1	"('HGNC', '9508')"	"{'UP': 'P49768', 'TEXT': 'Presenilin 1', 'MESH': 'D053764', 'HGNC': '9508'}"	C1418985
"Diabetes Mellitus, Type 2"	"('MESH', 'D003924')"	"{'MESH': 'D003924', 'TEXT': 'Type 2 diabetes'}"	C0011849
Amyotrophic Lateral Sclerosis	"('MESH', 'D000690')"	"{'MESH': 'D000690', 'TEXT': 'amyotrophic lateral sclerosis'}"	C0002736
MTHFD1L	"('HGNC', '21055')"	"{'UP': 'Q6UB35', 'TEXT': 'MTHFD1L', 'MESH': 'D005574', 'HGNC': '21055'}"	C1538020
bexarotene	"('CHEBI', 'CHEBI:50859')"	"{'CHEBI': 'CHEBI:50859', 'TEXT': 'bexarotene', 'DRUGBANK': 'DB00307', 'CHEMBL': 'CHEMBL1023', 'MESH': 'D000077610', 'HMDB': 'HMDB0014452', 'PUBCHEM': '82146', 'CAS': '153559-49-0'}"	C0765273
RA	"(None, None)"	"{'PF': 'PF00788', 'TEXT': 'RA'}"	C3538806
"Influenza, Human"	"('MESH', 'D007251')"	"{'MESH': 'D007251', 'TEXT': 'influenza'}"	C0086418
OAP	"(None, None)"	{'TEXT': 'OAP'}	C0069290
ADP receptor	"(None, None)"	{'TEXT': 'ADP receptor'}	C0001601
ABCG1	"('HGNC', '73')"	"{'UP': 'P45844', 'TEXT': 'ABCG1', 'MESH': 'D000070998', 'HGNC': '73'}"	C1412096
ERMAP	"('HGNC', '15743')"	"{'UP': 'Q96PL5', 'TEXT': 'SC', 'HGNC': '15743'}"	C1423697
Down Syndrome	"('MESH', 'D004314')"	"{'MESH': 'D004314', 'TEXT': 'Trisomy 21'}"	C0013080
kainic acid	"('CHEBI', 'CHEBI:31746')"	"{'CHEBI': 'CHEBI:31746', 'TEXT': 'kainic acid', 'CHEMBL': 'CHEMBL275040', 'CAS': '487-79-6', 'MESH': 'D007608', 'PUBCHEM': '10255'}"	C0022471
Bandrowski's base	"('CHEBI', 'CHEBI:53109')"	"{'PUBCHEM': '159881', 'TEXT': 'BB', 'CHEBI': 'CHEBI:53109', 'CAS': '20048-27-5'}"	C0245078
PKC	"('FPLX', 'PKC')"	"{'FPLX': 'PKC', 'TEXT': 'PKC', 'IP': 'IPR012233', 'MESH': 'D011493', 'NCIT': 'C17017', 'ECCODE': '2.7.11.13'}"	C4552000
PI3K	"('FPLX', 'PI3K')"	"{'FPLX': 'PI3K', 'TEXT': 'PI3K', 'NCIT': 'C17270'}"	C2936824
PKC	"('FPLX', 'PKC')"	"{'FPLX': 'PKC', 'TEXT': 'protein kinase C', 'IP': 'IPR012233', 'MESH': 'D011493', 'NCIT': 'C17017', 'ECCODE': '2.7.11.13'}"	C4552000
chronic inflammatory response	"('GO', 'GO:0002544')"	"{'GO': 'GO:0002544', 'TEXT': 'chronic inflammatory response'}"	C1817997
solanezumab	"(None, None)"	{'TEXT': 'solanezumab'}	C2935150
ngf	"('UP', 'P21617')"	"{'UP': 'P21617', 'TEXT': 'Nerve growth factor'}"	C1571151
Torsades de Pointes	"('MESH', 'D016171')"	"{'MESH': 'D016171', 'TEXT': 'torsades de pointes'}"	C0040479
donepezil	"('CHEBI', 'CHEBI:53289')"	"{'CHEBI': 'CHEBI:53289', 'TEXT': 'donepezil', 'CHEMBL': 'CHEMBL502', 'DRUGBANK': 'DB00843', 'CAS': '120014-06-4', 'HMDB': 'HMDB0005041', 'PUBCHEM': '3152', 'MESH': 'D000077265'}"	C0527316
glyceraldehyde	"('CHEBI', 'CHEBI:5445')"	"{'CHEBI': 'CHEBI:5445', 'TEXT': 'Glyceraldehyde', 'DRUGBANK': 'DB02536', 'CAS': '367-47-5', 'PUBCHEM': '751', 'HMDB': 'HMDB0001051', 'MESH': 'D005985', 'CHEMBL': 'CHEMBL173813'}"	C0017854
help	"(None, None)"	"{'PF': 'PF03451', 'TEXT': 'help'}"	C1269765
sildenafil	"('CHEBI', 'CHEBI:9139')"	"{'CHEBI': 'CHEBI:9139', 'TEXT': 'sildenafil', 'DRUGBANK': 'DB00203', 'CAS': '139755-83-2', 'CHEMBL': 'CHEMBL192', 'HMDB': 'HMDB0005039', 'PUBCHEM': '135398744'}"	C0529793
neuron death	"('GO', 'GO:0070997')"	"{'GO': 'GO:0070997', 'TEXT': 'Neuronal cell death'}"	C2754100
SPFs	"(None, None)"	{'TEXT': 'SPFs'}	C0812425
TG	"('HGNC', '11764')"	"{'UP': 'P01266', 'TEXT': 'TG', 'HGNC': '11764', 'MESH': 'D013954'}"	C0337445
interleukin	"(None, None)"	{'TEXT': 'interleukin'}	C0021764
Thr-Thr	"('CHEBI', 'CHEBI:73665')"	"{'PUBCHEM': '11321969', 'TEXT': 'TT', 'CHEBI': 'CHEBI:73665'}"	C0040005
ShK-223 peptide	"(None, None)"	{'TEXT': 'ShK-223 peptide'}	C0030956
VWF	"('HGNC', '12726')"	"{'UP': 'P04275', 'TEXT': 'vonWillebrand factor', 'HGNC': '12726', 'MESH': 'D014841'}"	C1336938
Phosphodiesterase inhibitors	"(None, None)"	{'TEXT': 'Phosphodiesterase inhibitors'}	C0031638
VWF	"('HGNC', '12726')"	"{'UP': 'P04275', 'TEXT': 'VWF', 'HGNC': '12726', 'MESH': 'D014841'}"	C1336938
2-hydroxy-17beta-estradiol	"('CHEBI', 'CHEBI:28744')"	"{'PUBCHEM': '247304', 'TEXT': 'ECs', 'HMDB': 'HMDB0000338', 'CHEBI': 'CHEBI:28744', 'CAS': '362-05-0', 'DRUGBANK': 'DB07706', 'CHEMBL': 'CHEMBL467987'}"	C0046196
CAMP	"('HGNC', '1472')"	"{'UP': 'P49913', 'TEXT': 'cAMP', 'HGNC': '1472'}"	C0050063
GRN	"('HGNC', '4601')"	"{'UP': 'P28799', 'TEXT': 'GRN', 'HGNC': '4601', 'MESH': 'D000077153'}"	C1415311
exendin-4	"('CHEBI', 'CHEBI:64073')"	"{'CHEBI': 'CHEBI:64073', 'TEXT': 'Exendin-4', 'CAS': '141758-74-9', 'MESH': 'D000077270', 'PUBCHEM': '56927919'}"	C0167117
GLP1R	"('HGNC', '4324')"	"{'UP': 'P43220', 'TEXT': 'glucagon-like peptide-1 receptor', 'MESH': 'D000067757', 'HGNC': '4324'}"	C1415105
PICALM	"('HGNC', '15514')"	"{'UP': 'Q13492', 'TEXT': 'Picalm', 'HGNC': '15514'}"	C1423544
Frontotemporal Dementia	"('MESH', 'D057180')"	"{'MESH': 'D057180', 'TEXT': 'FTLD-TDP'}"	C0236642
GAPDH	"('HGNC', '4141')"	"{'UP': 'P04406', 'TEXT': 'glyceraldehyde-3-phosphate dehydrogenase', 'MESH': 'D005987', 'HGNC': '4141'}"	C1414968
DUOXA1	"('HGNC', '26507')"	"{'UP': 'Q1HG43', 'TEXT': 'NIP', 'HGNC': '26507'}"	C1824986
"Brain Injuries, Traumatic"	"('MESH', 'D000070642')"	"{'MESH': 'D000070642', 'TEXT': 'traumatic brain injury'}"	C0270611
IMPACT	"('HGNC', '20387')"	"{'UP': 'Q9P2X3', 'TEXT': 'impact', 'HGNC': '20387'}"	C1825598
CNBP	"('HGNC', '13164')"	"{'UP': 'P62633', 'TEXT': 'DM2', 'HGNC': '13164'}"	C1824763
KDM1A	"('HGNC', '29079')"	"{'UP': 'O60341', 'TEXT': 'LSD1', 'HGNC': '29079'}"	C1428785
Paralysis	"('MESH', 'D010243')"	"{'MESH': 'D010243', 'TEXT': 'paralysis'}"	C0522224
MTNR1A	"('HGNC', '7463')"	"{'UP': 'P48039', 'TEXT': 'MTNR1A', 'HGNC': '7463'}"	C1417449
"transcription, DNA-templated"	"('GO', 'GO:0006351')"	"{'GO': 'GO:0006351', 'TEXT': 'transcription', 'MESH': 'D014158'}"	C0040649
sleep	"(None, None)"	{'TEXT': 'sleep'}	C0037313
SDC1	"('HGNC', '10658')"	"{'UP': 'P18827', 'TEXT': 'SDC', 'HGNC': '10658'}"	C1419891
Val-Ala	"('CHEBI', 'CHEBI:75008')"	"{'PUBCHEM': '6992638', 'TEXT': 'VA', 'CHEBI': 'CHEBI:75008', 'CHEMBL': 'CHEMBL55523'}"	C0042285
cholesterol	"('CHEBI', 'CHEBI:16113')"	"{'CHEBI': 'CHEBI:16113', 'TEXT': 'Cholesterol', 'PUBCHEM': '5997', 'DRUGBANK': 'DB04540', 'MESH': 'D002784', 'CHEMBL': 'CHEMBL112570', 'CAS': '57-88-5', 'HMDB': 'HMDB0000067'}"	C0008377
ERMAP	"('HGNC', '15743')"	"{'UP': 'Q96PL5', 'TEXT': 'Sc', 'HGNC': '15743'}"	C1423697
linoleic acid	"('CHEBI', 'CHEBI:17351')"	"{'PUBCHEM': '5280450', 'TEXT': 'linoleic acid', 'CHEMBL': 'CHEMBL267476', 'HMDB': 'HMDB0000673', 'CAS': '60-33-3', 'CHEBI': 'CHEBI:17351', 'DRUGBANK': 'DB14104'}"	C0023749
ammonia	"('CHEBI', 'CHEBI:16134')"	"{'CHEBI': 'CHEBI:16134', 'TEXT': 'Ammonia', 'CAS': '7664-41-7', 'CHEMBL': 'CHEMBL1160819', 'MESH': 'D000641', 'HMDB': 'HMDB0000051', 'PUBCHEM': '222'}"	C0002607
Metabolic Diseases	"('MESH', 'D008659')"	"{'MESH': 'D008659', 'TEXT': 'metabolic disease'}"	C0025517
Hemorrhage	"('MESH', 'D006470')"	"{'MESH': 'D006470', 'TEXT': 'hemorrhages'}"	C0019080
SH3PXD2A	"('HGNC', '23664')"	"{'UP': 'Q5TCZ1', 'TEXT': 'fish', 'HGNC': '23664'}"	C1822711
IAPP	"('HGNC', '5329')"	"{'UP': 'P10997', 'TEXT': 'amylin', 'MESH': 'D058228', 'HGNC': '5329'}"	C0063684
folate	"(None, None)"	"{'PUBCHEM': '6037', 'TEXT': 'folate'}"	C0178638
heme	"(None, None)"	"{'IP': 'IPR006361', 'TEXT': 'heme'}"	C0018966
HDL	"('FPLX', 'HDL')"	"{'FPLX': 'HDL', 'TEXT': 'High-density lipoproteins', 'CHEBI': 'CHEBI:39025', 'NCIT': 'C25186', 'GO': 'GO:0034364'}"	C3715113
peptide biosynthetic process	"('GO', 'GO:0043043')"	"{'GO': 'GO:0043043', 'TEXT': 'peptide formation'}"	C1327133
Vascular risk factors	"(None, None)"	{'TEXT': 'Vascular risk factors'}	C0035648
DMTN	"('HGNC', '3382')"	"{'UP': 'Q08495', 'TEXT': 'DMT', 'HGNC': '3382'}"	C1832386
angiotensin II	"('CHEBI', 'CHEBI:48432')"	"{'CHEBI': 'CHEBI:48432', 'TEXT': 'angiotensin II', 'CAS': '11128-99-7'}"	C0003009
mevastatin	"('CHEBI', 'CHEBI:34848')"	"{'CHEBI': 'CHEBI:34848', 'TEXT': 'mevastatin', 'CAS': '73573-88-3', 'DRUGBANK': 'DB06693', 'CHEMBL': 'CHEMBL54440', 'PUBCHEM': '64715'}"	C0056170
Rida	"('UP', 'P52759')"	"{'UP': 'P52759', 'TEXT': 'LPSp'}"	C0036457
TF	"('HGNC', '11740')"	"{'UP': 'P02787', 'TEXT': 'TF', 'HGNC': '11740', 'MESH': 'D014168'}"	C4048299
KL	"('HGNC', '6344')"	"{'UP': 'Q9UEF7', 'TEXT': 'KLOTHO', 'HGNC': '6344'}"	C1366480
APOE4 -related amyloid burden	"(None, None)"	{'TEXT': 'APOE4 -related amyloid burden'}	C0052201
SHARPIN	"('HGNC', '25321')"	"{'UP': 'Q9H0F6', 'TEXT': 'SHARPIN', 'HGNC': '25321'}"	C0965915
Brain Diseases	"('MESH', 'D001927')"	"{'MESH': 'D001927', 'TEXT': 'brain disorder'}"	C0006111
neuroinflammatory response	"('GO', 'GO:0150076')"	"{'GO': 'GO:0150076', 'TEXT': 'neuroinflammatory response'}"	C1704632
5'-S-methyl-5'-thioadenosine	"('CHEBI', 'CHEBI:17509')"	"{'PUBCHEM': '439176', 'TEXT': 'MTA', 'HMDB': 'HMDB0001173', 'CAS': '2457-80-9', 'CHEMBL': 'CHEMBL277041', 'MESH': 'D000068437', 'DRUGBANK': 'DB02282', 'CHEBI': 'CHEBI:17509'}"	C0728893
Nilvadipine	"('CHEBI', 'CHEBI:31911')"	"{'CHEBI': 'CHEBI:31911', 'TEXT': 'nilvadipine', 'CHEMBL': 'CHEMBL517427', 'CAS': '75530-68-6', 'PUBCHEM': '4494', 'DRUGBANK': 'DB06712'}"	C0132512
Tg PS1	"(None, None)"	{'TEXT': 'Tg PS1'}	C0299212
DUSP26	"('HGNC', '28161')"	"{'UP': 'Q9BV47', 'TEXT': 'DUSP26', 'HGNC': '28161'}"	C1539317
phosphatase	"(None, None)"	"{'PF': 'PF15698', 'TEXT': 'phosphatase'}"	C0031678
celecoxib	"('CHEBI', 'CHEBI:41423')"	"{'CHEBI': 'CHEBI:41423', 'TEXT': 'celecoxib', 'CHEMBL': 'CHEMBL118', 'PUBCHEM': '2662', 'HMDB': 'HMDB0005014', 'DRUGBANK': 'DB00482', 'CAS': '169590-42-5', 'MESH': 'D000068579'}"	C0538927
HSPA5	"('HGNC', '5238')"	"{'UP': 'P11021', 'TEXT': 'HSPA5', 'HGNC': '5238'}"	C1415761
OSU-03012	"('CHEBI', 'CHEBI:131196')"	"{'CHEBI': 'CHEBI:131196', 'TEXT': 'OSU-03012', 'CAS': '742112-33-0', 'CHEMBL': 'CHEMBL1650595', 'PUBCHEM': '10027278'}"	C1569671
JNK	"('FPLX', 'JNK')"	"{'FPLX': 'JNK', 'TEXT': 'c-Jun N-terminal kinase', 'IP': 'IPR008351', 'MESH': 'D048031'}"	C1150587
C1QL1	"('HGNC', '24182')"	"{'UP': 'O75973', 'TEXT': 'CRF', 'HGNC': '24182'}"	C1538975
localization	"('GO', 'GO:0051179')"	"{'GO': 'GO:0051179', 'TEXT': 'subcellular localization'}"	C1744691
CRHR1	"('HGNC', '2357')"	"{'UP': 'P34998', 'TEXT': 'CRFR1', 'HGNC': '2357'}"	C1413709
"Brain Injuries, Traumatic"	"('MESH', 'D000070642')"	"{'MESH': 'D000070642', 'TEXT': 'traumatic brain injuries'}"	C0270611
gel	"(None, None)"	"{'IP': 'IPR007122', 'TEXT': 'gel'}"	C0017243
RYR2	"('HGNC', '10484')"	"{'UP': 'Q92736', 'TEXT': 'RyR2', 'HGNC': '10484'}"	C0524963
ARF6	"('HGNC', '659')"	"{'UP': 'P62330', 'TEXT': 'ARF6', 'HGNC': '659'}"	C1412511
TMEM106B	"('HGNC', '22407')"	"{'UP': 'Q9NUM4', 'TEXT': 'TMEM106B', 'HGNC': '22407'}"	C1823367
acetylsalicylic acid	"('CHEBI', 'CHEBI:15365')"	"{'PUBCHEM': '2244', 'TEXT': 'aspirin', 'HMDB': 'HMDB0001879', 'CHEBI': 'CHEBI:15365', 'CAS': '50-78-2', 'MESH': 'D001241', 'DRUGBANK': 'DB00945', 'CHEMBL': 'CHEMBL25'}"	C0004057
RYR3	"('HGNC', '10485')"	"{'UP': 'Q15413', 'TEXT': 'RyR3', 'HGNC': '10485'}"	C0524964
GLS2	"('HGNC', '29570')"	"{'UP': 'Q9UI32', 'TEXT': 'GA', 'HGNC': '29570'}"	C0017796
agonist	"('CHEBI', 'CHEBI:48705')"	"{'CHEBI': 'CHEBI:48705', 'TEXT': 'agonist'}"	C2987634
Erlangen Score Algorithm	"(None, None)"	{'TEXT': 'Erlangen Score Algorithm'}	C0002045
biomarker	"('CHEBI', 'CHEBI:59163')"	"{'CHEBI': 'CHEBI:59163', 'TEXT': 'biomarker', 'MESH': 'D015415'}"	C0005516
AKT	"('FPLX', 'AKT')"	"{'FPLX': 'AKT', 'TEXT': 'Akt', 'NCIT': 'C41625'}"	C0164786
CYP19A1	"('HGNC', '2594')"	"{'UP': 'P11511', 'TEXT': 'CYP19A1', 'HGNC': '2594', 'MESH': 'D001141'}"	C0003805
HDAC	"('FPLX', 'HDAC')"	"{'FPLX': 'HDAC', 'TEXT': 'histone deacetylase', 'ECCODE': '3.5.1.98', 'NCIT': 'C16682', 'MESH': 'D006655', 'IP': 'IPR003084'}"	C0019643
"Diabetes Mellitus, Type 2"	"('MESH', 'D003924')"	"{'MESH': 'D003924', 'TEXT': 'Type 2 Diabetes'}"	C0011849
glycogen metabolic process	"('GO', 'GO:0005977')"	"{'GO': 'GO:0005977', 'TEXT': 'Glycogen Metabolism'}"	C0599784
Caspase	"('FPLX', 'Caspase')"	"{'FPLX': 'Caspase', 'TEXT': 'caspases', 'NCIT': 'C18153', 'GO': 'GO:0004199', 'IP': 'IPR002138', 'PF': 'PF00656', 'MESH': 'D020169'}"	C0010656
humoral immune response	"('GO', 'GO:0006959')"	"{'GO': 'GO:0006959', 'TEXT': 'humoral immune response'}"	C0020967
LIPC	"('HGNC', '6619')"	"{'UP': 'P11150', 'TEXT': 'HL', 'HGNC': '6619'}"	C1416867
fisetin	"('CHEBI', 'CHEBI:42567')"	"{'CHEBI': 'CHEBI:42567', 'TEXT': 'fisetin', 'DRUGBANK': 'DB07795', 'CHEMBL': 'CHEMBL31574', 'CAS': '528-48-3', 'PUBCHEM': '5281614'}"	C0060397
vasodilation	"('GO', 'GO:0042311')"	"{'GO': 'GO:0042311', 'TEXT': 'vasodilation', 'MESH': 'D014664'}"	C0042401
pentetrazol	"('CHEBI', 'CHEBI:34910')"	"{'PUBCHEM': '5917', 'TEXT': 'pentylenetetrazol', 'CHEBI': 'CHEBI:34910', 'CHEMBL': 'CHEMBL116943', 'CAS': '54-95-5', 'DRUGBANK': 'DB13415', 'MESH': 'D010433'}"	C0030903
chelator	"('CHEBI', 'CHEBI:38161')"	"{'CHEBI': 'CHEBI:38161', 'TEXT': 'chelator', 'MESH': 'D002614'}"	C0007974
ANXA1	"('HGNC', '533')"	"{'UP': 'P04083', 'TEXT': 'p35', 'HGNC': '533', 'MESH': 'D017305'}"	C1412417
desferrioxamine	"('CHEBI', 'CHEBI:50453')"	"{'CHEBI': 'CHEBI:50453', 'TEXT': 'desferrioxamine'}"	C0011145
UPR	"(None, None)"	{'TEXT': 'UPR'}	C1155342
CDK5	"('HGNC', '1774')"	"{'UP': 'Q00535', 'TEXT': 'cyclin-dependent kinase 5', 'HGNC': '1774', 'MESH': 'D051360'}"	C1565306
ST3GAL4	"('HGNC', '10864')"	"{'UP': 'Q11206', 'TEXT': 'STZ', 'HGNC': '10864'}"	C1539862
TP53	"('HGNC', '11998')"	"{'UP': 'P04637', 'TEXT': 'p53', 'HGNC': '11998', 'MESH': 'D016159'}"	C0146283
Hypoglycemia	"('MESH', 'D007003')"	"{'MESH': 'D007003', 'TEXT': 'hypoglycemia'}"	C0020615
PPP1R3A	"('HGNC', '9291')"	"{'UP': 'Q16821', 'TEXT': 'Rg1', 'HGNC': '9291'}"	C1418829
Tubulin	"('FPLX', 'Tubulin')"	"{'FPLX': 'Tubulin', 'TEXT': 'tubulin', 'NCIT': 'C17219', 'MESH': 'D014404'}"	C0041348
type mice	"(None, None)"	{'TEXT': 'type mice'}	C0026809
IGFBP7	"('HGNC', '5476')"	"{'UP': 'Q16270', 'TEXT': 'IGFBP7', 'HGNC': '5476'}"	C1415932
"4,4'-azodibenzenearsonic acid"	"('CHEBI', 'CHEBI:53554')"	"{'PUBCHEM': '23749', 'TEXT': 'ABA', 'CHEBI': 'CHEBI:53554', 'CAS': '7334-23-8', 'CHEMBL': 'CHEMBL2008878', 'MESH': 'D010132'}"	C3838679
