"mrcuis"|"str"
C0230899|ELASTIN FIBER
C0524337|ELDERLY MAN
C0001792|ELDERLY PERSON, NOS
C0337037|ELECTRIC FIELD
C0013786|ELECTRIC STIMULATION
C0344434|ELECTROCARDIOGRAM: ATRIAL FIBRILLATION
C0013798|ELECTROCARDIOGRAM (EKG, ECG)
C0180600|ELECTROCARDIOGRAPHS
C0013812|ELECTRODES, (E.G., APNEA MONITOR), PER PAIR
C0151611|ELECTROENCEPHALOGRAM; ABNORMAL
C1304879|ELECTROENCEPHALOGRAPHIC MONITORING REGIME
C0013819|ELECTROENCEPHALOGRAPHY (EEG)
C0854632|ELECTROLYTE REPLACEMENT
C0013838|ELECTROMAGNETIC
C0013850|ELECTRONICS
C0026019|ELECTRON MICROSCOPY
C0013846|ELECTRON TRANSPORT
C0206691|ELECTROPORATION
C1705248|ELEMENT
C0013879|ELEMENT, CHEMICAL
C0449265|ELICITED BY
C1427926|ELL-ASSOCIATED FACTOR 2
C1427925|ELONGATION FACTOR RNA POLYMERASE II
C1610768|EMAPUNIL
C0007780|EMBOLISM; CEREBRAL ARTERY
C1414372|EMBRYONIC LETHAL, ABNORMAL VISION, DROSOPHILA, HOMOLOG-LIKE 2
C0920502|EMBRYONIC TISSUE
C0013935|EMBRYOS
C0013835|EMF
C0233929|EMISSION, NOS
C0849912|EMOTIONAL
C0001721|EMOTIONAL AFFECT
C0011546|EMOTIONAL DEPENDENCY
C0700361|EMOTIONAL DISTRESS
C0013985|EMOTIONAL DISTURBANCE
C0013987|EMOTIONS
C0013990|EMPHYSEMA, NOS
C0557351|EMPLOYED
C0599987|EMPLOYEE
C0014003|EMPLOYMENT
C0562342|EMPOWERED
C1880497|EMPTY
C0014025|ENALAPRIL-CONTAINING PRODUCT
C0006104|ENCEPHALON
C0014099|ENDARTERECTOMY OF CAROTID ARTERY
C1172779|ENDOCANNABINOID
C1568245|ENDOCRINE DISRUPTING COMPOUND
C3538926|ENDOCRINE SYSTEM FINDINGS DOMAIN
C0259863|ENDOCRINOLOGISTS
C0444746|ENDOCYTE
C0014139|ENDOCYTOTIC PROCESS
C0887883|ENDOCYTOTIC VESICLE
C0205227|ENDOGENOUS
C0011573|ENDOGENOUS; DEPRESSION
C0014175|ENDOMETRIOSIS, UNSPECIFIED
C1166837|ENDOPLASMIC RETICULUM CISTERN
C0014239|ENDOPLASMIC RETICULUM, NOS
C0014245|ENDOSCOPY PROCEDURE
C0034850|ENDOSOMES
C0225336|ENDOTHELIAL CELLS
C0856169|ENDOTHELIAL DYSFUNCTION
C1447747|ENDOTHELIAL LIPASE
C1414260|ENDOTHELIN 1
C0079281|ENDOTHELIN-1
C1414244|ENDOTHELIN-CONVERTING ENZYME 1
C0079284|ENDOTHELINS
C0014264|ENDOTOXINS
C0424589|ENERGY
C0597987|ENERGY BALANCE
C0542479|ENERGY IN PHYSICS
C0489460|ENERGY REQUIREMENT
C2945645|ENERGY SUPPLY
C0006080|ENGAGED IN BOXING
C0336924|ENGAGED IN CONTACT TYPE PHYSICAL SPORT
C2937292|ENGAGEMENT
C0086222|ENHANCER OF DNA TRANSCRIPTION
C0014298|ENKEPHALINS
C1414402|ENOLASE 1
C1414404|ENOLASE 2
C1414408|ENPP2 GENE
C1516879|ENROLLMENT
C0165921|ENTACAPONE-CONTAINING PRODUCT
C1269010|ENTIRE AORTIC ARCH
C1282826|ENTIRE ARTERIOLE
C1269881|ENTIRE BASILAR ARTERY
C0229960|ENTIRE BODY AS A WHOLE
C1266909|ENTIRE BONY SKELETON
C1278940|ENTIRE BRACHIAL ARTERY
C1269537|ENTIRE BRAIN
C1269580|ENTIRE CAUDATE NUCLEUS
C1289620|ENTIRE CENTRUM SEMIOVALE
C1284087|ENTIRE CEREBELLAR CORTEX
C1289511|ENTIRE CEREBRAL CINGULUM
C1283832|ENTIRE CEREBRAL VESSELS
C1284115|ENTIRE CEREBRAL WHITE MATTER
C1280704|ENTIRE CHOROID PLEXUS
C1281025|ENTIRE CINGULATE GYRUS
C1281361|ENTIRE CRIBRIFORM PLATE
C1281026|ENTIRE DENTATE GYRUS
C1289526|ENTIRE ENTORHINAL CORTEX
C1281591|ENTIRE FACE
C1281590|ENTIRE HEAD
C1284077|ENTIRE HIPPOCAMPUS
C1279075|ENTIRE HUMERUS
C1289512|ENTIRE INFERIOR LONGITUDINAL FASCICULUS
C1281016|ENTIRE INFERIOR TEMPORAL GYRUS
C1284114|ENTIRE INFRATENTORIAL BRAIN
C1281019|ENTIRE INSULA
C1280107|ENTIRE INTRACRANIAL ARTERY
C1282824|ENTIRE LARGE ARTERY
C1268982|ENTIRE LATERAL VENTRICLE
C1281955|ENTIRE LEFT FRONTAL LOBE
C1278590|ENTIRE LEFT INTERNAL CAROTID ARTERY
C1267299|ENTIRE LEFT MIDDLE CEREBRAL ARTERY
C1281971|ENTIRE LEFT TEMPORAL LOBE
C1280206|ENTIRE LENS CAPSULE
C1280090|ENTIRE LIMB
C1278911|ENTIRE LIP
C1269079|ENTIRE LOWER LIMB
C1280997|ENTIRE MIDBRAIN
C1269012|ENTIRE MIDDLE CEREBRAL ARTERY
C1281015|ENTIRE MIDDLE TEMPORAL GYRUS
C1280541|ENTIRE NERVE
C1269560|ENTIRE NERVOUS SYSTEM
C1281094|ENTIRE OLFACTORY BULB
C1282858|ENTIRE PERIVASCULAR SPACE
C1281335|ENTIRE PUTAMEN
C1283878|ENTIRE RENAL TUBULE
C1281954|ENTIRE RIGHT FRONTAL LOBE
C1278588|ENTIRE RIGHT INTERNAL CAROTID ARTERY
C1267298|ENTIRE RIGHT MIDDLE CEREBRAL ARTERY
C1281970|ENTIRE RIGHT TEMPORAL LOBE
C1278851|ENTIRE SCIATIC NERVE
C1282822|ENTIRE SMALL ARTERY
C1269578|ENTIRE SUBSTANTIA NIGRA
C1281008|ENTIRE SUPERIOR FRONTAL GYRUS
C1289509|ENTIRE SUPERIOR LONGITUDINAL FASCICULUS
C1281074|ENTIRE SUPERIOR TEMPORAL SULCUS
C1279118|ENTIRE TIBIA
C1280198|ENTIRE TRIGEMINAL GANGLION
C1280632|ENTIRE TRUNK
C1289510|ENTIRE UNCINATE FASCICULUS
C1282680|ENTIRE VIRCHOW-ROBIN SPACE
C1551338|ENTITY
C0014394|ENURESIS, NOS
C0007091|ENVIRONMENTAL CARCINOGEN
C0871974|ENVIRONMENTAL EFFECTS
C0456156|ENVIRONMENTAL EVENTS
C0871732|ENVIRONMENTAL STRESS
C3494751|ENVIRONMENT - ORIGIN
C0014406|ENVIRONMENTS
C0243102|ENZYME ACTIVITY
C2717977|ENZYME ASSAYS
C1333402|ENZYME GENE
C0086231|ENZYME IMMUNOASSAY TECHNIQUE
C1524081|ENZYME INHIBITION
C0014441|ENZYME-LINKED IMMUNOSORBENT ASSAY
C0920508|ENZYME LINKED IMMUNOSPOT ASSAY
C0014442|ENZYMES
C0596529|ENZYME SUBSTRATE COMPLEX
C0014440|ENZYME TESTS
C1880519|ENZYME UNIT
C1516314|ENZYMOLYSIS
C0520572|ENZYMOPATHY, NOS
C0538075|EOTAXIN-2
C0228092|EPENDYMAL CELL
C0014472|EPENDYMA OF NEURAXIS
C4284622|EPHA5 WT ALLELE
C0812262|EPHRIN RECEPTOR EPHA1
C1333338|EPHRIN RECEPTOR EPHA4
C1333340|EPHRIN RECEPTOR EPHB2
C1370509|EPHRIN TYPE-A RECEPTOR 1
C0121258|EPHRIN TYPE A RECEPTOR 3 (EPHA3)
C3849574|EPHRIN TYPE-B RECEPTOR 2
C0014507|EPIDEMIOLOGY
C0002783|EPIDEMIOLOGY RESEARCH
C0242275|EPIDERMAL GROWTH FACTOR
C1414313|EPIDERMAL GROWTH FACTOR RECEPTOR
C0034802|EPIDERMAL GROWTH FACTOR-UROGASTRONE RECEPTOR SITE
C0059438|EPIGALLOCATECHIN GALLATE
C1655731|EPIGENETICS
C1516924|EPIGENETICS
C0504096|EPIMYSIUM
C0349217|EPISODE; DEPRESSIVE
C0332189|EPISODES
C4552000|EPISODIC KINESIGENIC DYSKINESIA 1
C0561843|EPISODIC MEMORY
C0743553|EPISTASIS
C0014597|EPITHELIAL CELLS
C1523298|EPITHELIAL-TO-MESENCHYMAL TRANSITION
C1516506|EPITHELIUM OF CHOROID PLEXUS
C0003316|EPITOPE
C0242831|EPITOPE MAPPING
C3887850|EPOCH REGIMEN
C0014653|EQUILIBRIUM, NOS
C0014654|EQUILIN
C0276356|EQUINE INFLUENZA
C0205163|EQUIVALENT
C3810541|ER
C1414444|ERN1 GENE
C0743559|ERRORS
C1423697|ERYTHROBLAST MEMBRANE ASSOCIATED PROTEIN (SCIANNA BLOOD GROUP)
C0014780|ERYTHROCYTE MEMBRANES
C0014819|ERYTHROPOIESIS
C2976467|ERYTHROPOIETIN
C0014822|ERYTHROPOIETIN PRODUCT
C1552150|ES
C0870509|ESCAPE
C0014834|ESCHERICHIA COLI (E COLI) BACTERIA
C2742136|E-SELECTIN
C0002525|ESSENTIAL AMINO ACIDS
C0015686|ESSENTIAL FATTY ACIDS
C0750572|ESTIMATED
C0680844|ESTIMATION
C0401805|ESTIMATOR
C0014908|ESTONIA
C0059672|ESTROGEN BINDING PROTEIN
C0720298|ESTROGENIC
C1158342|ESTROGEN METABOLIC PROCESS
C1521863|ESTROGEN RECEPTOR
C1414461|ESTROGEN RECEPTOR 1
C0665341|ESTROGEN RECEPTOR ALPHA
C0529099|ESTROGEN RECEPTOR BETA
C1414462|ESTROGEN RECEPTOR BETA
C0752229|ESTROGEN RECEPTOR MODULATOR
C0239301|ESTROGEN USE
C0717758|ETANERCEPT-CONTAINING PRODUCT
C0014963|ETHACRYNIC ACID PRODUCT
C0086264|ETHICAL ISSUE
C0015011|ETHINYLOESTRADIOL PRODUCT
C0682076|ETHNIC DIFFERENCES
C0015031|ETHNICITY
C0059747|ETHYL ACETATE
C0001962|ETHYL ALCOHOL-CONTAINING PRODUCT
C0972314|ETORICOXIB-CONTAINING PRODUCT
C0812270|ETV3 GENE
C0684063|EUKARYOTES
C0015161|EUKARYOTIC CELLS
C1539341|EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 2
C1414326|EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 3
C1414334|EUKARYOTIC TRANSLATION INITIATION FACTOR 2 SUBUNIT ALPHA
C1414351|EUKARYOTIC TRANSLATION INITIATION FACTOR 4E
C0683983|EUROPEAN AMERICAN
C0425355|EUROPEAN ORIGIN
C0015179|EUROPEAN UNION
C0015180|EUROPIUM
C0948853|EUTHYMIA
C0282171|EVENT-RELATED POTENTIALS
C0441471|EVENTS
C3541888|EVENTS
C0332181|EVERY YEAR
C3887511|EVIDENCE
C0332120|EVIDENCE OF
C0015219|EVOLUTION
C1444749|EXACERBATED
C0849872|EXAM;COMPLETE
C4321457|EXAMINATION
C0332128|EXAMINED FOR
C1707959|EXAMPLE
C1705847|EXCEPTION
C0694563|EXCESSIVE DAYTIME SOMNOLENCE
C0683357|EXCESSIVE; DRINKING
C1333356|EXCISION REPAIR, COMPLEMENTING DEFECTIVE, IN CHINESE HAMSTER, 2
C0235169|EXCITABILITY
C0549255|EXCITATION
C0295921|EXCITATORY AMINO ACID TRANSPORTER 2
C1516988|EXCITATORY SYNAPSE
C0332196|EXCLUDE
C0680251|EXCLUSION CRITERIA
C0504085|EXCRETION
C0221102|EXCRETORY PROCESS
C0589089|EXECUTIVE COGNITIVE FUNCTIONS
C2748208|EXECUTIVE DYSFUNCTION
C0935584|EXECUTIVE FUNCTION
C0871735|EXECUTIVES
C0167117|EXENATIDE-CONTAINING PRODUCT
C0239313|EXERCISE INDUCED
C1831738|EXERCISE INTERVENTION
C0015260|EXERCISE TOLERANCE TEST
C0178629|EXHAUST
C0015283|EXOCYTOSIS
C0205228|EXOGENOUS
C0015295|EXON
C0117059|EXOPEPTIDASE
C1539372|EXOSOME COMPONENT 10
C0679138|EXPECTATIONS
C0015316|EXPENDITURE
C0596545|EXPERIENCE
C0304229|EXPERIMENTAL DRUG, NOS
C0086272|EXPERIMENTAL MODEL
C2825142|EXPERIMENTAL RESULT
C0009932|EXPERIMENT CONTROLS
C0011065|EXPIRED
C0681841|EXPLANATION
C0561766|EXPLICIT MEMORY
C1280903|EXPLORATION PROCEDURE
C1704625|EXPOSURE DOMAIN
C0014412|EXPOSURE ENVIRONMENTAL
C0870527|EXPOSURE THERAPY
C0332157|EXPOSURE TO
C0003948|EXPOSURE TO ASBESTOS
C0302826|EXPRESSED EMOTION
C3854321|EXPRESSION
C1274025|EXTENDED FAMILY MEMBER
C0231448|EXTENSION
C1184148|EXTENSOR
C0152345|EXTERNAL CAPSULE
C0079321|EXTERNAL FIXATOR
C0521119|EXTRACELLULAR
C0015349|EXTRACELLULAR FLUID
C0079323|EXTRACELLULAR MATRIX PROTEINS
C1333498|EXTRACELLULAR PROTEIN
C0015353|EXTRA CHROMOSOMAL INHERITANCE
C4554138|EXTRACOMPARTMENTAL TUMOR
C2828366|EXTRACT
C0234133|EXTRAPYRAMIDAL SYMPTOMS
C0015382|EXTRAVERSION
C0205403|EXTREME
C0008520|EYE, CHOROID
C0314719|EYES DRY
C1366449|F2R GENE
C0871740|FACE PERCEPTION
C0870537|FACE RECOGNITION
C0015450|FACIAL
C1547538|FACILITY
C1521761|FACTOR
C1304558|FAGOPYRUM ESCULENTUM
C2911689|FAIR
C0150223|FALL PREVENTION
C1532976|FALL RISK ASSESSMENT
C0000921|FALLS (ACCIDENTS)
C0205237|FALSE
C1880718|FALSE ALARM
C1880720|FALSE DISCOVERY RATE
C0011394|FALSE TEETH
C0209227|FAMCICLOVIR PRODUCT
C0276496|FAMILIAL ALZHEIMER DISEASE
C1843013|FAMILIAL ALZHEIMER'S DISEASE, TYPE 3
C0694546|FAMILIAL HYPERLIPIDEMIA
C0600269|FAMILIARITY
C0949933|FAMILY BURSERACEAE
C0086279|FAMILY CAREGIVERS
C0003455|FAMILY FORMICIDAE
C0262479|FAMILY HISTORY RISK FACTORS
C0424909|FAMILY HISTORY WITH EXPLICIT CONTEXT PERTAINING TO FATHER
C0241889|FAMILY MEDICAL HISTORY
C0015576|FAMILY, NOS
C0199236|FAMILY STUDY
C1825236|FAMILY WITH SEQUENCE SIMILARITY 107 MEMBER B
C0216736|FANCONI ANEMIA GROUP C PROTEIN
C1425722|FAS APOPTOTIC INHIBITORY MOLECULE
C1539477|FAS GENE
C1539478|FAS LIGAND
C0428568|FASTING BLOOD GLUCOSE TEST
C0015663|FASTING STATE
C1366532|FASTK GENE
C0443214|FAT ABSORPTION
C0206042|FATAL FAMILIAL INSOMNIA
C0012171|FAT - DIETARY
C0015671|FATHERS
C0015677|FATS
C0259753|FAT SOLUBLE VITAMINS
C0812278|FAT TUMOR SUPPRESSOR, DROSOPHILA, HOMOLOG OF, 1
C1333527|FATTY ACID-BINDING PROTEIN 4
C1312696|FATTY ACID-BINDING PROTEIN, HEART
C0015684|FATTY ACIDS
C0333574|FATTY DEPOSITION, NOS
C0309049|FAVOR
C1422079|FBXO5 GENE
C0034805|FC RECEPTOR SITE
C3641247|FDG-POSITRON EMISSION TOMOGRAPHY
C0877040|FEAR OF FALLING
C0015730|FEASIBILITY STUDY
C0015744|FEEDBACK
C0085631|FEELING AGITATED
C0522165|FEELING OF RELAXATION
C1527305|FEELINGS
C0325089|FELIDS
C0007450|FELIS CATUS
C0015770|FELLOWSHIP
C0015799|FEMINIZED MALE
C1539533|FERM DOMAIN-CONTAINING PROTEIN 4A
C0015852|FERMENTATION
C1423716|FERMT2 GENE
C0015879|FERRITIN
C0007841|FERROXIDASE
C0015895|FERTILITY, NOS
C2343853|FESOTERODINE-CONTAINING PRODUCT
C0440731|FETAL BRAIN
C0002210|FETUIN
C0242291|FETUS
C0015965|FETUS
C0205388|FEW
C1304649|FIBER
C0012173|FIBER
C0225326|FIBER-CONTAINING PRODUCT
C1948066|FIBRIL
C1180307|FIBRILLAR ACTIN
C0004238|FIBRILLATION; ATRIAL OR AURICULAR
C0244756|FIBRILLIN-1 (FBN1)
C0225328|FIBRIL, NOS
C0016006|FIBRINOGEN
C0016017|FIBRINOLYSIS, NOS
C1333536|FIBROBLAST GROWTH FACTOR 1
C0962301|FIBROBLAST GROWTH FACTOR 23
C0380603|FIBROBLAST GROWTH FACTOR 2 (FGF-2)
C0527057|FIBROBLAST GROWTH FACTOR RECEPTOR 3
C0016055|FIBRONECTINS
C1185705|FIBROUS LAYER
C0016059|FIBROUS THICKENING
C1521738|FIELD
C0016094|FILING
C3889645|FINAL REPORT
C0149692|FINANCES
C1287361|FINDING OF FEMALE SEX HORMONES - SERUM LEVEL
C3539655|FINDINGS
C0562229|FINE MOTOR FUNCTIONS
C0556281|FINE MOTOR IMPAIRMENT
C0870564|FINGER TAPPING
C0337803|FINNS
C0218501|FIPRONIL
C0205233|FIRM
C1279901|FIRSTLY
C1273976|FIRST MYOCARDIAL INFARCTION
C3826338|FISHERY PRODUCTS
C0556216|FISH INTAKE
C0016163|FISH, NOS
C0948110|FISTULA; CEREBROSPINAL
C0011253|FIXED BELIEFS CONTRADICTED BY REALITY
C0729218|FK506
C1414627|FKBP PROLYL ISOMERASE 5
C0309093|FLAIR
C0016198|FLAME RETARDANTS
C0252912|FLAP ENDONUCLEASE 1
C0038925|FLAPS
C0016213|FLAVINS
C0060440|FLAVONE
C0016219|FLAVONE
C0596577|FLAVONOIDS
C0060444|FLAVONOL
C0242808|FLEXIBILITY
C4050619|FLEXIBILITY INDEX
C3714591|FLOOR
C2742211|FLORBETAPIR
C1414639|FLOTILLIN 2
C0806140|FLOW
C0016263|FLOW CYTOMETRY, NOS
C0330090|FLOWERS, NOS
C0231239|FLUCTUATION, NOS
C0870569|FLUENCY
C0016284|FLUID BALANCE
C0012621|FLUID DISCHARGE
C0429791|FLUIDS INTAKE
C0016315|FLUORESCENCE
C0597717|FLUORESCENCE RESONANCE ENERGY TRANSFER
C0037802|FLUORESCENCE SPECTROMETRY
C0242506|FLUORESCENCE SPECTROSCOPY
C0162789|FLUORESCENT IN SITU HYBRIDIZATION
C0026022|FLUORESCENT MICROSCOPY
C0016321|FLUORESCENT PROBES
C0303920|FLUORESCENT STAIN, NOS
C0016327|FLUORIDE SALT, NOS
C0598447|FLUOROPHORE
C0016365|FLUOXETINE-CONTAINING PRODUCT
C0016377|FLURBIPROFEN-CONTAINING PRODUCT
C0004239|FLUTTER;ATRIAL
C0082608|FLUVASTATIN-CONTAINING PRODUCT
C2348693|FLUX
C1565434|FOCAL ADHESION KINASE
C0059239|FOCAL ADHESION KINASE 1 (FAK-1)
C1265891|FOCAL ATROPHY
C0333542|FOCAL INFARCT
C0205234|FOCUS
C0016400|FOCUS GROUPS
C0178638|FOLATE
C0332462|FOLD, NOS
C0016412|FOLIC ACID DEFICIENCY DISEASE
C0564428|FOLIC ACID INTAKE
C1157079|FOLIC ACID METABOLIC PROCESS
C0556110|FOLIC ACID SUPPLEMENT AGENT
C1517284|FOLLICULAR B CELL LYMPHOMA OF THE MOUSE HEMATOLOGIC SYSTEM
C1522577|FOLLOW-UP
C3274571|FOLLOW-UP
C0016441|FOLLOW-UP STUDY
C0589121|FOLLOW-UP VISIT
C0420338|FOLLOW-UP VISIT IN ONE YEAR
C0729311|FOOD ANTIOXIDANT
C0003618|FOOD APPETITE, NOS
C2983605|FOOD CONSUMPTION
C0016502|FOOD INDUSTRY
C3494174|FOOD INSECURITY
C0013470|FOOD INTAKE
C0920297|FOOD PREPARATION
C0681562|FOOD PRODUCT
C0016517|FOOTBALL GAME
C1306036|FORCED EXPIRATORY VOLUME
C0598976|FOREIGN LANGUAGES
C0016542|FOREIGN MATERIAL
C0430449|FORENSIC EXAMINATION
C0020498|FORESTIER'S DISEASE
C0542476|FORGETFULNESS
C0598853|FORGETTING
C0016564|FORMALDEHYDE PRODUCT
C0016576|FORMIC ACID
C1539521|FORMIN 1
C0152334|FORNIX OF FOREBRAIN
C0070895|FOSCARNET-CONTAINING PRODUCT
C0596588|FOS FAMILY PROTEIN
C0016613|FOSSIL FUELS
C0016617|FOUNDATIONS
C0263541|FOUNDER
C0205450|FOUR
C0812250|FOXN3 GENE
C1333572|FOXO1 GENE
C0016640|FRACTIONATION
C1264633|FRACTIONS OF
C0015806|FRACTURE OF NECK OF FEMUR
C0016658|FRACTURE(S)
C0302113|FRAGILITY, NOS
C1708096|FRAGMENT
C0185061|FRAGMENTATION PROCEDURE, NOS
C0486805|FRAGMENTS
C0871754|FRAIL
C0079377|FRAIL ELDERLY
C4075886|FRAILTY INDEX
C0180979|FRAMES
C0596235|FREE CALCIUM
C0678591|FREE ENERGY
C1517312|FREE RADICAL FORMATION
C0079381|FREE RADICAL SCAVENGER
C0016693|FREE RADICALS (CHEMISTRY)
C0370097|FREE TRIIODOTHYRONINE
C0079382|FRIENDS
C0205123|FRONTAL
C1260405|FRONTAL DEMENTIA
C0149554|FRONTAL HORN
C0016733|FRONTAL LOBE STRUCTURE
C3496374|FRONTAL WHITE MATTER
C0338451|FRONTOTEMPORAL DEMENTIA
C0060765|FRUCTOSAMINE
C0016767|FRUIT
C1970415|FTO GENE
C1555016|FTP
C0388088|FTY720
C1550543|FULFILL
C0001288|FUNCTIONAL ABILITY
C3827007|FUNCTIONAL ACTIVITIES QUESTIONNAIRE
C0558024|FUNCTIONAL BEHAVIOURAL ASSESSMENT
C0333234|FUNCTIONAL CONGESTION
C0872173|FUNCTIONAL DISABILITY
C0278372|FUNCTIONAL EVALUATION
C0598132|FUNCTIONAL GROUP
C0940836|FUNCTIONAL MEASUREMENT
C0581601|FUNCTIONAL MODIFICATION
C0376335|FUNCTIONAL MRI
C0598463|FUNCTIONAL STATUS
C4552744|FUNCTIONS
C0542341|FUNCTIONS
C0243098|FUNDING
C0740422|FUNDUS
C0016829|FUNGAL PROTEINS
C0016832|FUNGUS, NOS
C0287990|FURIN
C0332466|FUSION, NOS
C1293131|FUSION PROCEDURE
C0162768|FUSION PROTEIN-CONTAINING PRODUCT
C0016884|FUTURE
C3714541|FVC
C0812303|FYN PROTO-ONCOGENE, SRC FAMILY TYROSINE KINASE
C0060926|GABAPENTIN-CONTAINING PRODUCT
C0206518|GABA--RECEPTORS
C1517378|GAIN
C1510417|GAIT APRAXIA
C0744248|GAIT FUNCTIONAL
C2009910|GAIT SPEED
C0016928|GAIT TYPE
C0060993|GALANIN
C0016967|GALANTHAMINE
C0607430|GALECTIN
C0245382|GALECTIN-3
C0016976|GALLBLADDER STRUCTURE
C0016979|GALLIC ACID
C0008350|GALLSTONE(S)
C1333658|GALR2 GENE
C0150593|GAMES
C0016904|GAMMA-AMINOBUTYRIC ACID (GABA)
C1422662|GAMMA-AMINOBUTYRIC ACID TYPE A RECEPTOR THETA SUBUNIT
C1412791|GAMMA-CARBOXYGLUTAMIC ACID PROTEIN, BONE
C0017011|GAMMA RAYS
C0379528|GAMMA SECRETASE
C2678557|GAMMA-SECRETASE-ACTIVATING PROTEIN
C0017066|GANCICLOVIR PRODUCT
C0017082|GANGLIOSIDES
C2982066|GANTENERUMAB
C3887622|GAP
C0335454|GARDENERS
C0868963|GARDENING
C1009574|GARDEN MUM
C0008555|GAS CHROMATOGRAPHY MEASUREMENT, NOS
C0017110|GAS, NOS
C0017119|GASTRIC ACID
C1517454|GASTRIC TISSUE
C0017182|GASTROINTESTINAL HORMONES
C1427996|GASTROKINE 1
C0559221|GASTROSTOMY FEEDING
C1435727|GASTROTROPIN
C3539624|GATA-TYPE ZINC FINGER PROTEIN 1
C1398078|GAUCHER'S
C3537453|GBA WT ALLELE
C0024868|GC/MS
C1457885|GDNF FAMILY RECEPTOR ALPHA-2
C0172537|GELATINASE-A (MMP-2)
C0017237|GELATIN PRODUCT
C0061179|GELDANAMYCIN
C0596607|GEL ELECTROPHORESIS
C0017243|GELS (PHARMACY)
C0079399|GENDER
C0017255|GENE ACTIVATION
C0017258|GENE CLUSTER
C1442161|GENE DELETION ABNORMALITY
C0017260|GENE DELETION MUTATION
C0178655|GENE DOSAGE
C0596609|GENE-ENVIRONMENT INTERACTION
C0017262|GENE EXPRESSION
C1517488|GENE FAMILY
C0596610|GENE INTERACTION
C0596611|GENE MUTATION
C0678951|GENE POLYMORPHISM
C0002915|GENERAL ANESTHETIC
C0017302|GENERAL ANESTHETICS
C3714634|GENERAL BODY FUNCTION
C0424575|GENERAL HEALTH
C0451182|GENERAL HEALTH QUESTIONNAIRE
C0020008|GENERAL HOSPITAL
C4684594|GENERALIZABILITY
C0205246|GENERALIZED
C0270549|GENERALIZED; ANXIETY DISORDER
C0683971|GENERAL POPULATION
C0086343|GENERAL PRACTICE
C0079411|GENERATION
C0085155|GENERIC DRUGS
C0017337|GENES
C1708225|GENE SIGNATURE
C0598496|GENE SILENCING
C0017296|GENETIC
C0314603|GENETIC
C0002085|GENETIC ALLELES
C0796344|GENETIC ANALYSIS
C0007294|GENETIC DISORDER CARRIER
C0017261|GENETIC DUPLICATION PROCESS
C0014290|GENETIC ENHANCER ELEMENT
C0242960|GENETIC HETEROGENEITY
C0178659|GENETIC MANIPULATION
C0033413|GENETIC PROMOTOR REGION
C0017263|GENETIC REGULATION
C1517512|GENETIC RISK
C0017398|GENETICS
C0036576|GENETIC SELECTION
C1136352|GENETIC STRUCTURE
C0314657|GENETIC SUSCEPTIBILITY
C0678922|GENETIC TRAIT
C0061202|GENISTEIN
C0729552|GENITAL INFECTION
C0017428|GENOMES
C0919532|GENOMIC INSTABILITY
C2986505|GENOMIC PROFILE
C0887950|GENOMICS RESEARCH
C0598309|GENOTOXICITY
C1257899|GENOTOXIC STRESS
C0017431|GENOTYPES
C1285573|GENOTYPING
C3854019|GENTAMICINS
C1265549|GENUS CAPRA
C0017446|GEOGRAPHIC SITE
C0017462|GERBILS
C0451184|GERIATRIC DEPRESSION SCALE QUESTIONNAIRE
C0870602|GERIATRIC PATIENTS
C0017469|GERIATRICS
C0017463|GERIATRIC SCREENING
C0586872|GERONTOLOGISTS
C0424015|GETTING LOST
C1333672|GFRA2 GENE
C0017040|GGTP
C0000503|GHB
C0911014|GHRELIN
C3539617|GI
C0061267|GINGEROL
C0330206|GINKGO BILOBA PLANT
C0772125|GINKGO BILOBA PREPARATION
C1119918|GINSENG PRODUCT
C0061278|GINSENOSIDES
C1333675|GIPR GENE
C0870604|GIRL
C1550718|GIVEN
C0289884|GLATIRAMER ACETATE
C0207072|GLIAL CELL LINE DERIVED NEUROTROPHIC FACTOR (GDNF)
C1512195|GLIAL DIFFERENTIATION
C0017626|GLIAL FILAMENT
C0017638|GLIOMA; UNSPECIFIED SITE
C0017639|GLIOSIS, NOS
C0935987|GLIVEC
C0281858|GLOBAL ASSESSMENT
C1510610|GLOBALIZATION
C0017645|GLOBIN
C0178663|GLOBULAR PROTEIN
C0232809|GLOMERULAR FILTRATION, NOS
C0017654|GLOMERULAR FILTRATION RATE, NOS
C0772088|GLUCAGON
C0014361|GLUCAGON-LIKE PEPTIDE
C0061355|GLUCAGON-LIKE PEPTIDE 1
C1415105|GLUCAGON-LIKE PEPTIDE 1 RECEPTOR
C0034809|GLUCOCORTICOIDS--RECEPTORS
C3272933|GLUCOSE CLEARANCE MEASUREMENT
C0596620|GLUCOSE METABOLISM
C1257958|GLUCOSE METABOLISM DISORDERS
C0017757|GLUCOSEPHOSPHATE DEHYDROGENASE
C0017725|GLUCOSE PRODUCT
C0178666|GLUCOSE TRANSPORT
C0017742|GLUCOSE TRANSPORTER
C1159527|GLUCOSE UPTAKE
C0017765|GLUCOSIDES
C0017768|GLUCOSYLCERAMIDASE
C1414998|GLUCOSYLCERAMIDASE BETA
C0017770|GLUCOSYLCERAMIDE
C0017780|GLUE
C0220839|GLUTAMATE
C0017789|GLUTAMATE
